E06_001_invnr;rdfs:type;invnr;title;creationDate;carrierExtent;inscription;productionTechnique;quality;rico:OwnershipRelation
A_E06_001_18750;Instantiation;18750;Zeichnung, Skizze einer sitzenden Figur von einer Aufführung der Theater- und Musikgesellschaft Zug ;späte 1940er-Jahre ;"Bildmass: 50.0 x 32.7 cm; Objektmass (H x B x T): 55.6 x 38.2 cm";"Signatur: ""An / der / Matt"" (unten links auf Skizzenblatt)";"Bleistift und Aquarell auf Papier; Karton";"Zustand: Die Zeichnung ist - wohl wegen mehreren grossen Rissen - auf einen Karton kaschiert worden; stellenweise vergilbt, Karton stellenweise leicht verschmutzt, gelber Rand aufgrund eines (ehemaligen) Passepartouts";https://www.wikidata.org/wiki/Q27490186
A_E06_001_18751;Instantiation;18751;"Zeichnung, Skizze der Jadwiga Pawlowa aus dem Stück ""Polenblut"" der Theater- und Musikgesellschaft Zug im Casino Zug";1949;"Bildmass: 35.8 x 25.0 cm; Objektmass (H x B x T): 49.7 x 35.0 cm";"Signatur: ""An / der / Matt"" (unten rechts auf Skizzenblatt); Inschrift: ""Skizze/Jadwiga Pàwlowà / Polenblut/Casino Zug / 1949"" (auf Karton unten links ); Inschrift: ""Anna Faessler-Müller"" (auf Karton unten rechts)";"Bleistift und Aquarell auf Papier; Karton";"29.10.2021: Zustand: Skizzenblatt ist punktuell an den Ecken und oben in der Mitte auf einen Karton geklebt worden. Der Klebstreifen der unteren linken Ecke hat sich abgelöst. stellenweise vergilbt; Karton fleckig, vergilbt und berieben, rechte untere Ecke bestossen";https://www.wikidata.org/wiki/Q27490186
A_E06_001_18752;Instantiation;18752;"Zeichnung, Skizze des Grafen Boléslaw Barànski aus dem Stück ""Polenblut"" der Theater- und Musikgesellschaft Zug im Casino Zug";14.01.1949;"Bildmass: 32.4 x 24.9 cm; Objektmass (H x B x T): 50.0 x 34.9 cm";"Signatur: ""An / der / Matt / 14.1.49"" (unten rechts auf Skizzenblatt); Inschrift: ""Skizze z. Fig: ""Graf Boléslaw Barànski / Polenblut / Casino Zug"" (auf Karton unten links ); Inschrift: ""Franz Faessler"" (auf Karton unten rechts)";"Bleistift und Aquarell auf Papier; Karton";"29.10.2021: Zustand: Das Papier ist mit einem wasserlöslichen Klebstreifen (Gummi arabicum) auf einen Karton geklebt. Die unteren beiden Klebstreifen haben sich abgelöst. Skizzenblatt stellenweise verschmutzt und einige kleine Flecken, linke untere Ecke geknickt; Karton fleckig, vergilbt und mit zahlreichen Löchern von Bostitch-Klammern am Rand";https://www.wikidata.org/wiki/Q27490186
A_E06_001_18753;Instantiation;18753;Zeichnung, Skizze einer Strassenszene mit uniformiertem Reiter, von einer Aufführung der Theater- und Musikgesellschaft Zug;späte 1940er-Jahre ;"Bildmass: 50.1 x 32.3 cm; Objektmass (H x B x T): 55.9 x 38.5 cm";"Signatur: ""An / der / Matt"" (unten rechts auf Skizzenblatt)";"Bleistift und Aquarell auf Papier; Karton";"29.10.2021: Zustand: Die Zeichnung ist - wohl aufgrund mehrerer grosser Risse - auf einen Karton kaschiert worden; stellenweise vergilbt, Karton stellenweise leicht verschmutzt";https://www.wikidata.org/wiki/Q27490186
A_E06_001_11728;Instantiation;11728;Bühne im Theater Casino Zug;um 1910 ;Blattmass: 19.8 x 19.7 cm;"Signatur: ""Ph. & E. Link / Zürich."" (Vorderseite, unten rechts)";Schwarzweissfoto, Neuabzug;Zustand: gut;https://www.wikidata.org/wiki/Q27490186
A_E06_001_9102;Instantiation;9102;Porträt Anna Bossard-Schwerzmann (1862-1923);um 1900 ;Blattmass: 10.5 x 6.3 cm;"Signatur: PHOTOGRAPHIE VON JGFR. KATHR. WEISS.  ZUG, Bahnhofs-Strasse.; Inschrift: Frau Anna Bossard geb. Schwerzmann, Hotel Ochsen Zug, (ab Postplatz)";;Zustand: abgenutzt;https://www.wikidata.org/wiki/Q27490186
A_E06_001_9506;Instantiation;9506;4 Porträtfotos (Visitenkartenbilder);2. Hälfte 19. Jh. ;Bildmass: je 10.5 x 6.4 cm;Inschrift: JGFR. KATHR. WEISS  ZUG.;Fotografie auf Karton;Zustand: fleckig;https://www.wikidata.org/wiki/Q27490186
A_E06_001_10605;Instantiation;10605;3 Fotos Anna Lucia Kerckhoffs (1889-1894);1894;"Rahmenmass (H x B x T): 10.5 x 6.8 cm; Bildmass: 8.7 x 5.6 cm";"Signatur: ""JGFR. KATHR. WEISS""";Fotografie;Zustand: vergilbt;https://www.wikidata.org/wiki/Q27490186
A_E06_001_11623;Instantiation;11623;"Fotos diverser Schweizer und europäischer Fotografen (Leidbilchen, Porträtfotos, Erinnerungsbilder, Landschaften und Gebäude) und Postkarten aus Familie Spillmann-Waller, dazugehörige Alben; Totenbildchen, Totenbild, Leidbild, Helgeli";1860 - 1950 ;;;"Schwarz-weiss Fotografie auf Karton aufgeklebt; mit Leder eingebundene und mit Metallschlössern versehene Alben";Zustand bei Eingang: Fotos mit z.T. starken Vergilbungs- und Zersetzungsspuren. Alben tw. mit starken Gebrauchsspuren. (3.2012).;https://www.wikidata.org/wiki/Q27490186
A_E06_001_11623;Instantiation;11623;"Fotos diverser Schweizer und europäischer Fotografen (Leidbilchen, Porträtfotos, Erinnerungsbilder, Landschaften und Gebäude) und Postkarten aus Familie Spillmann-Waller, dazugehörige Alben; Totenbildchen, Totenbild, Leidbild, Helgeli";1860 - 1950 ;;;"Schwarz-weiss Fotografie auf Karton aufgeklebt; mit Leder eingebundene und mit Metallschlössern versehene Alben";Zustand bei Eingang: Fotos mit z.T. starken Vergilbungs- und Zersetzungsspuren. Alben tw. mit starken Gebrauchsspuren. (3.2012).;https://www.wikidata.org/wiki/Q27490186
A_E06_001_11623;Instantiation;11623;"Fotos diverser Schweizer und europäischer Fotografen (Leidbilchen, Porträtfotos, Erinnerungsbilder, Landschaften und Gebäude) und Postkarten aus Familie Spillmann-Waller, dazugehörige Alben; Totenbildchen, Totenbild, Leidbild, Helgeli";1860 - 1950 ;;;"Schwarz-weiss Fotografie auf Karton aufgeklebt; mit Leder eingebundene und mit Metallschlössern versehene Alben";Zustand bei Eingang: Fotos mit z.T. starken Vergilbungs- und Zersetzungsspuren. Alben tw. mit starken Gebrauchsspuren. (3.2012).;https://www.wikidata.org/wiki/Q27490186
A_E06_001_13806;Instantiation;13806;Dokumentation zur Familie Arnold ab Schwandegg: Fotoporträt Marie Arnold (1856-1926);um 1870 ;Objektmass (H x B x T): 10.3 x 6.1 cm;"Inschrift: auf Rückseite: ""Photographischs Atelier JFr. Kathr. Weiss, Zug"", in Handschrift: ""Meine Mamma noch ledig auf Schloss Schwandegg Marie Arnold"", ""[...] Frau Zürcher-Arnold Löwen Menzingen Fr. Fridy? Hüssler-Zürcher""";Fotografie auf Karton geklebt;Zustand: fleckig;https://www.wikidata.org/wiki/Q27490186
A_E06_001_13852;Instantiation;13852;Dokumentation zur Familie Zürcher ab Löwen in Menzingen: Porträt des Kunstmalers Beat Jakob Stocker, fotografiertes Gemälde;2. Hälfte 19. Jh. ;Objektmass (H x B x T): max. 10.2 x 6.5 cm;Signatur: Photographie Kath. Weiss Koller-Mühle Zug;Fotografien auf Karton geklebt;"Zustand bei Eingang: Das ältere Foto ist gelblich, beide Fotos haben Flecken. (11.2009); Zustand: Gebrauchspuren";https://www.wikidata.org/wiki/Q27490186
A_E06_001_13854;Instantiation;13854;Dokumentation zur Familie Zürcher ab Löwen in Menzingen: Ganzkörperporträt eine Mannes;2. Hälfte 19. Jh. ;"Objektmass (H x B x T): 16.5 x 10.7 cm; Objektmass (H x B x T): 10.4 x 6.2 cm";"Signatur: CATH. WEISS  ZUG; Inschrift: Auf der Vorderseite des grossen Fotos: ""CATH. WEISS""; auf den Rückseiten des kleineren Fotos: ""PHOTOGRAPHIE VON JGFR. KATHR. WEISS"", ""ZUG, Bahnhofstrasse""";Fotografien auf Karton geklebt;Zustand: fleckig;https://www.wikidata.org/wiki/Q27490186
A_E06_001_13863;Instantiation;13863;Dokumentation zur Familie Zürcher ab Löwen in Menzingen: Foto einer unbekannten Frau;2. Hälfte 19. Jh. ;Objektmass (H x B x T): 10.1 x 5.9 cm;"Signatur: Jfr. Kathr. Weiss Zug; Inschrift: Rückseite: ""Photographisches Atelier Jfr. Kathr. Weiss Zug""";Fotografie auf Karton geklebt;Zustand: Gebrauchspuren;https://www.wikidata.org/wiki/Q27490186
A_E06_001_13865;Instantiation;13865;Dokumentation zur Familie Zürcher ab Löwen in Menzingen: Foto eines unbekannten Mannes;2. Hälfte 19. Jh. ;Objektmass (H x B x T): 10.2 x 6.5 cm;"Signatur: Kath. Weiss Koller-Mühle Zug; Inschrift: Rückseite: ""Photographie Kath. Weiss Koller-Mühle Zug.""";Fotografie auf Karton geklebt;Zustand: fleckig;https://www.wikidata.org/wiki/Q27490186
A_E06_001_15051;Instantiation;15051;Fotografie: Ruine Wildenburg;2. Hälfte 19. Jh. ;Objektmass (H x B x T): 16.7 x 10.8 cm;Inschrift: Catharina Weiss Bahnhofstrasse Zug;schw.-weiss Fotografie, aufgeklebt auf Karton;Zustand: etwas vergilbt;https://www.wikidata.org/wiki/Q27490186
A_E06_001_15223;Instantiation;15223;4 Porträtfotografien: Familie Glutz-Spillmann, Cham (Visitenkartenbilder);Anfang 20. Jh. ;Objektmass (H x B x T): 10.0 x 6.5 cm;Inschrift: 2x J.GANZ, 1x Eduard Weiss, 1x JGFR. KATHR. WEISS;Fotografie auf Karton;Zustand: gut;https://www.wikidata.org/wiki/Q27490186
A_E06_001_18441;Instantiation;18441;Carte de visite, Schreiner Alois Kleimann (1842-?);1872 - 1882 ;Rahmenmass (H x B x T): 10.0 x 6.3 cm;"Signatur: ""Photographie / von / Jgfr. Kathr. Weiss / in / Zug [...]""; Inschrift: ""Alois Kleimann / Vater / geb. 3. Juni 1842"", ""No 556"" u.a.";"s/w-Fotografie; Karton, Druck";"Zustand Kurz: verschmutzt; Zustand: verschmutzt";https://www.wikidata.org/wiki/Q27490186
A_E06_001_18486;Instantiation;18486;"Fotografie, Porträt eines jungen Mannes; Visitenkartenbild, Carte de visite";1866 - 1872 ;"Objektmass (H x B x T): Porträt inkl. Passepartout 14.4 x 11.2 x 0.2 cm; Bildmass: 10.1 x 6.3 x 0.1 cm";"Inschrift: ""Photographie / von / JGFR.KATHR.WEISS [Auf Spruchband notiert] / Bahnhofs Str. / ZUG"" (Visitenkartenbild, Rückseite mittig); Inschrift: No [keine Nummer notiert, leer] / Die Platte bleibt zum Nachbestellen / aufbewahrt. (Visitenkartenbild, Rüc";Fotografie auf Karton;07.08.2020: Zustand: Fleckig, vergilbt (vor allem das Passepartout), 2 Risse auf dem Passepartout (oben und unten);https://www.wikidata.org/wiki/Q27490186
A_E06_001_18487;Instantiation;18487;"Fotografie, Porträt eines Kindes; Visitenkartenbild, Carte de visite";nach 1872 ;"Objektmass (H x B x T): Porträt inkl. Passepartout 14.4 x 11.2 x 0.2 cm; Bildmass: 10.5 x 6.3 x 0.1 cm";"Inschrift: JGFR. KATHR. WEISS ZUG. (Visitenkartenbild, Vorderseite unten); Inschrift: No 4204. (Visitenkartenbild, Rückseite oben); Inschrift: PHOTOGRAPHIE VON JGFR. KATHR. WEISS. / 
[Ovales Bildmotiv: Es handelt sich um das Wohn- und Atelierhaus im Chale";Fotografie auf Karton;07.08.2020: Zustand: Fleckig, vergilbt (vor allem das Passepartout);https://www.wikidata.org/wiki/Q27490186
A_E06_001_18488;Instantiation;18488;"Fotografie, Porträt eines älteren Mannes; Visitenkartenbild, Carte de visite";nach 1872 ;"Objektmass (H x B x T): Porträt inkl. Passepartout 14.4 x 11.2 x 0.2 cm; Bildmass: 10.5 x 6.3 x 0.1 cm";"Inschrift: JGFR. KATHR. WEISS ZUG. (Visitenkartenbild, Vorderseite unten); Inschrift: No [Keine Nummer notiert, leer] (Visitenkartenbild, Rückseite oben); Inschrift: PHOTOGRAPHIE VON JGFR. KATHR. WEISS. / [Ovales Bildmotiv: Es handelt sich um das Wohn- un";Fotografie auf Karton;07.08.2020: Zustand: Fleckig, vergilbt (vor allem das Passepartout). Visitenkartenbild Vorderseite: Schwarze Verunreinigungen in der Kopfgegend. Visitenkartenbild, Rückseite: Oben am Rand etwas beschädigt;https://www.wikidata.org/wiki/Q27490186
